image_path,label,training_allocation
cifar-10/truck/39485_truck.png,truck,train
cifar-10/ship/35796_ship.png,ship,train
cifar-10/truck/40910_truck.png,truck,train
cifar-10/airplane/01228_airplane.png,airplane,train
cifar-10/deer/16669_deer.png,deer,train
cifar-10/frog/24730_frog.png,frog,train
cifar-10/horse/32752_horse.png,horse,train
cifar-10/frog/26452_frog.png,frog,train
cifar-10/airplane/02128_airplane.png,airplane,train
cifar-10/frog/24825_frog.png,frog,train
cifar-10/frog/27358_frog.png,frog,train
cifar-10/dog/21229_dog.png,dog,train
cifar-10/horse/29819_horse.png,horse,train
cifar-10/dog/24593_dog.png,dog,train
cifar-10/bird/09668_bird.png,bird,train
cifar-10/deer/20390_deer.png,deer,train
cifar-10/dog/20825_dog.png,dog,train
cifar-10/horse/32803_horse.png,horse,train
cifar-10/truck/39785_truck.png,truck,train
cifar-10/dog/23742_dog.png,dog,train
cifar-10/ship/34312_ship.png,ship,train
cifar-10/deer/16849_deer.png,deer,train
cifar-10/truck/38313_truck.png,truck,train
cifar-10/dog/24566_dog.png,dog,train
cifar-10/automobile/05632_automobile.png,automobile,train
cifar-10/frog/27197_frog.png,frog,train
cifar-10/truck/38614_truck.png,truck,train
cifar-10/ship/33438_ship.png,ship,train
cifar-10/dog/22343_dog.png,dog,train
cifar-10/bird/09774_bird.png,bird,train
cifar-10/ship/36768_ship.png,ship,train
cifar-10/airplane/03291_airplane.png,airplane,train
cifar-10/dog/21752_dog.png,dog,train
cifar-10/dog/22564_dog.png,dog,train
cifar-10/ship/34326_ship.png,ship,train
cifar-10/truck/38275_truck.png,truck,train
cifar-10/frog/27904_frog.png,frog,train
cifar-10/deer/19135_deer.png,deer,train
cifar-10/horse/32110_horse.png,horse,train
cifar-10/ship/34920_ship.png,ship,train
cifar-10/airplane/02296_airplane.png,airplane,train
cifar-10/deer/17772_deer.png,deer,train
cifar-10/ship/35487_ship.png,ship,train
cifar-10/cat/15338_cat.png,cat,train
cifar-10/dog/22845_dog.png,dog,train
cifar-10/airplane/03614_airplane.png,airplane,train
cifar-10/deer/16405_deer.png,deer,train
cifar-10/airplane/03421_airplane.png,airplane,train
cifar-10/ship/33278_ship.png,ship,train
cifar-10/cat/12437_cat.png,cat,train
cifar-10/truck/37075_truck.png,truck,train
cifar-10/deer/19976_deer.png,deer,train
cifar-10/dog/23408_dog.png,dog,train
cifar-10/deer/19937_deer.png,deer,train
cifar-10/automobile/05428_automobile.png,automobile,train
cifar-10/truck/38066_truck.png,truck,train
cifar-10/cat/16370_cat.png,cat,train
cifar-10/cat/15571_cat.png,cat,train
cifar-10/frog/26170_frog.png,frog,train
cifar-10/ship/35381_ship.png,ship,train
cifar-10/deer/18706_deer.png,deer,train
cifar-10/ship/34472_ship.png,ship,train
cifar-10/deer/17077_deer.png,deer,train
cifar-10/ship/33269_ship.png,ship,train
